feature_idx,rank,sentence,category
10758,1,Corporate financial policies were updated to reflect changing market conditions.,financial_news
10758,2,Investment policy statements were updated to reflect changing market conditions and objectives.,financial_news
10758,3,Monetary policy accommodation supported economic recovery and employment growth.,financial_news
10758,4,Credit risk appetite statements were revised to reflect changing market conditions.,financial_news
10758,5,Credit risk management frameworks were strengthened across all lending businesses.,financial_news
10758,6,Lending capacity constraints affected small business loan availability and approval rates.,financial_news
10758,7,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
10758,8,Credit portfolio diversification strategies were implemented to reduce concentration risk.,financial_news
10758,9,Credit scoring models were updated to reflect new risk factors and economic conditions.,financial_news
10758,10,Policy rate decisions influenced borrowing costs across consumer and business lending.,financial_news
13724,1,Regulatory reporting technology platforms were upgraded to support new requirements.,financial_news
13724,2,The volume of mortgage applications increased 3,financial_news
13724,3,Lending rate spreads over benchmark rates increased significantly across all loan types.,financial_news
13724,4,Basel III capital adequacy requirements were fully implemented across all banking institutions.,financial_news
13724,5,Regulatory capital requirements impacted lending capacity and growth strategies for financial institutions.,financial_news
13724,6,Loan approval rates tightened as banks increased risk assessment standards for commercial lending.,financial_news
13724,7,"3% from the prior week ending April 12, the Mortgage Bankers Association (MBA)reported",financial_news
13724,8,Debt refinancing improved interest coverage ratios to 4.2x from 3.1x in the previous year.,financial_news
13724,9,Institutional investors increased their market exposure significantly in the latest quarter.,financial_news
13724,10,Regulatory reporting frequency increased to support supervisory oversight and monitoring.,financial_news
1438,1,Most of these positions had been held for a long while and saw parabolic rallies which are rarely sustainable,financial_news
1438,2,Shares have Peloton keep cycling lower,financial_news
1438,3,Major averages ticked higher at the open as traders looked to break a three-day losing streak,financial_news
1438,4,Net effective rent change (over the entire lease term) was 67,financial_news
1438,5,The Motley Fool has no position in any of the stocks mentioned,financial_news
1438,6,"Now, the debate has shifted to whether recent better-than-expected economic data could prohibit further progress on inflation",financial_news
1438,7,Butthe short interesthas also reached over 18% of available Rivian shares,financial_news
1438,8,Market momentum indicators suggested continued upward movement in the near term.,financial_news
1438,9,Not much buying at these lows is happening in the premarket today,financial_news
1438,10,Deutsche Bank points out this is the lowest this has been so far in this cycle,financial_news
9858,1,"""In a higher interest rate environment, certainly higher than 0%-1% or 0%-2%, stocks traditionally do very well,"" Belski said",financial_news
9858,2,Term premium on long-term bonds increased significantly as uncertainty about future policy grew.,financial_news
9858,3,Interest rate swap markets reflected changing expectations for future monetary policy.,financial_news
9858,4,Risk parity approaches balanced portfolio risk contributions across different asset classes.,financial_news
9858,5,Cross-asset correlations increased during periods of market stress and uncertainty.,financial_news
9858,6,5% in months when the 10-year was 6%,financial_news
9858,7,Policy rate changes affected asset valuations across equity and fixed income markets.,financial_news
9858,8,Interest rate risk management became critical for financial institutions and investors.,financial_news
9858,9,Earnings before interest and taxes grew 20% year-over-year on operational improvements.,financial_news
9858,10,"Trading volumes exceeded historical averages during earnings season, indicating strong investor interest.",financial_news
7392,1,Quarterly earnings exceeded analyst expectations by 12% on strong revenue growth across all business segments.,financial_news
7392,2,Earnings quality metrics showed sustainable profit growth patterns across all divisions.,financial_news
7392,3,"Revenue growth accelerated to 15% compared to 8% in the prior period, exceeding management guidance.",financial_news
7392,4,Compliance culture initiatives were launched across organizations to strengthen awareness.,financial_news
7392,5,Corporate governance practices strengthened across all sectors and market capitalizations.,financial_news
7392,6,Earnings season kicked off with strong results from major banks and financial institutions.,financial_news
7392,7,Sector rotation patterns emerged as investors reallocated capital from growth to value stocks.,financial_news
7392,8,Investment risk management practices were enhanced to address emerging market risks.,financial_news
7392,9,Risk parity approaches balanced portfolio risk contributions across different asset classes.,financial_news
7392,10,"Mortgage rates increased to 7.2%, affecting homebuyer affordability and housing market activity.",financial_news
5366,1,Investment manager selection processes incorporated both quantitative and qualitative factors.,financial_news
5366,2,ESG integration in investment processes became mainstream among institutional investors.,financial_news
5366,3,Quantitative investment strategies gained market share as technology and data availability improved.,financial_news
5366,4,Investment style rotation strategies captured market momentum and sector performance trends.,financial_news
5366,5,Corporate liquidity positions strengthened through cash generation and balance sheet management.,financial_news
5366,6,Credit risk appetite among institutional lenders decreased as economic uncertainty grew.,financial_news
5366,7,Interest rate risk management became critical for financial institutions and investors.,financial_news
5366,8,Earnings per share growth outpaced revenue growth due to margin expansion and share buybacks.,financial_news
5366,9,Investment horizon considerations influenced asset allocation decisions and risk tolerance.,financial_news
5366,10,"As one of the most expensive in the sector, Arm got hit hard on the news",financial_news
4362,1,"Market capitalization of tech stocks reached unprecedented levels, exceeding $10 trillion.",financial_news
4362,2,"The company has benefited from higher interest rates as it collected a net interest income of $747 million, up 17% from the quarter a year ago, but non-interest income, which is mostly commissions, continued to grow as well, up 9% to $456 million",financial_news
4362,3,Most Read from BloombergDubai Grinds to Standstill as Cloud Seeding Worsens FloodingTesla Asks Investors to Approve Musk’s $56 Billion Pay AgainRed Lobster Considers Bankruptcy to Deal With Leases and Labor CostsBankers Hit With Millions in Breakup Fees for Ditching New JobsChina Tells Iran Cooperation Will Last After Attack on IsraelEquities fell for a,financial_news
4362,4,"Nvidia (NVDA) fell more than 2%, while Meta (META) slid nearly 2%",financial_news
4362,5,The stock has crashed 98% since its December 2020 highs as people have returned to pumping iron in $50-a-month gyms,financial_news
4362,6,Crude has come off its 2024 intraday highs touched earlier this month when WTI rose above $87 per barrel and Brent surpassed $92 per barrel,financial_news
4362,7,"58% on Wednesday, down nearly 5% from the record high touched in late March, the Cboe 1-Month Implied Correlation Index rose as high as 21",financial_news
4362,8,Multi-factor investment models showed strong performance across different market environments.,financial_news
4362,9,Pro forma earnings adjusted for one-time items showed strong growth of 18% year-over-year.,financial_news
