layer,feature_idx,qwen_label,avg_improvement,max_improvement,layer_improvement,layer_category,layer_count,all_layers,all_categories
0,1438,Rally Exhaustion Signals,1.032608099281788,1.032608099281788,1.032608099281788,derivatives_options,1,[0],derivatives_options
0,4362,Tech Stock Valuations,0.9446873515844344,0.9446873515844344,0.9446873515844344,currency_forex,1,[0],currency_forex
0,4527,Liquidity Improvements,0.9110508561134338,0.9110508561134338,0.9110508561134338,corporate_finance,1,[0],corporate_finance
0,5366,Investment Strategy Trends,0.985908217728138,0.985908217728138,0.985908217728138,derivatives_options,1,[0],derivatives_options
0,5609,Catalyst Announcements,1.2161600962281227,1.4942153692245483,0.9381048232316972,regulatory_compliance,2,"[0, 1]",regulatory_compliance | corporate_finance
0,7392,Earnings Exceed Expectations,1.015721395611763,1.015721395611763,1.015721395611763,credit_lending,1,[0],credit_lending
0,9858,Interest Rate Environment Changes,1.0302424728870392,1.0302424728870392,1.0302424728870392,derivatives_options,1,[0],derivatives_options
0,10758,Market Condition Adjustments,1.2259129881858826,1.2259129881858826,1.2259129881858826,credit_lending,1,[0],credit_lending
0,13724,Regulatory Changes Impact,1.1217746883630753,1.1217746883630753,1.1217746883630753,earnings_analysis,1,[0],earnings_analysis
0,20529,Interest Rate Vulnerability,0.927645057439804,0.927645057439804,0.927645057439804,credit_lending,1,[0],credit_lending
1,414,Earnings Beat Analysis,1.6026097908616066,1.6026097908616066,1.6026097908616066,derivatives_options,1,[1],derivatives_options
1,2502,Monetary Policy Coordination,1.4060451909899712,1.4060451909899712,1.4060451909899712,currency_forex,1,[1],currency_forex
1,3597,Technical Warning Signals,1.5680830925703049,1.5680830925703049,1.5680830925703049,derivatives_options,1,[1],derivatives_options
1,5609,Catalyst Announcements,1.2161600962281227,1.4942153692245483,1.4942153692245483,corporate_finance,2,"[0, 1]",regulatory_compliance | corporate_finance
1,6071,Interest Rate Policy Changes,1.4393606781959534,1.4393606781959534,1.4393606781959534,credit_lending,1,[1],credit_lending
1,8549,Earnings Misses,1.5387367829680445,1.5387367829680445,1.5387367829680445,corporate_finance,1,[1],corporate_finance
1,16724,Credit Vulnerabilities,1.5901947170495985,1.8069283664226528,1.3734610676765442,earnings_analysis,2,"[1, 4]",earnings_analysis | economic_indicators
1,17263,Regulatory Enhancements,1.3930703699588776,1.3930703699588776,1.3930703699588776,economic_indicators,1,[1],economic_indicators
1,19188,Earnings Surpass Expectations,1.5884646028280258,1.5884646028280258,1.5884646028280258,credit_lending,1,[1],credit_lending
1,22733,Earnings Downgrades,1.4990826472640038,1.4990826472640038,1.4990826472640038,market_movements,1,[1],market_movements
2,2650,Market Sentiment Shifts,1.5449013859033585,1.5449013859033585,1.5449013859033585,commodities_trading,1,[2],commodities_trading
2,3339,Monetary Policy Adjustments,1.485818788409233,1.485818788409233,1.485818788409233,economic_indicators,1,[2],economic_indicators
2,4460,Regulatory Risk Management,1.7114402453104656,1.8171121031045916,1.6607188656926155,derivatives_options,3,"[2, 3, 4]",derivatives_options | commodities_trading | economic_indicators
